Authors;Article Title;DOI
"Borjeson, N; Bostrom, M";Towards Reflexive Responsibility in a Textile Supply Chain;10.1002/bse.2012
"McNeill, LS; Hamlin, RP; McQueen, RH; Degenstein, L; Garrett, TC; Dunn, L; Wakes, S";Fashion sensitive young consumers and fashion garment repair: Emotional connections to garments as a sustainability strategy;10.1111/ijcs.12572
"Yaghin, RG; Sarlak, P";Textile supply chain management considering carbon emissions and apparel demand fuzziness: a fuzzy mathematical programming approach;10.1108/IJCST-08-2020-0124
"Majumdar, A; Sinha, SK; Shaw, M; Mathiyazhagan, K";Analysing the vulnerability of green clothing supply chains in South and Southeast Asia using fuzzy analytic hierarchy process;10.1080/00207543.2019.1708988
"McQueen, RH; Jain, A; McNeill, LS; Kozlowski, A";The role of resources in repair practice: engagement with self, paid and unpaid clothing repair by young consumers;10.1177/00405175221123067
"Goworek, H; Oxborrow, L; Claxton, S; McLaren, A; Cooper, T; Hill, H";Managing sustainability in the fashion business: Challenges in product development for clothing longevity in the UK;10.1016/j.jbusres.2018.07.021
"Styven, ME; Mariani, MM";Understanding the intention to buy secondhand clothing on sharing economy platforms: The influence of sustainability, distance from the consumption system, and economic motivations;10.1002/mar.21334
"Sabrina, PN; Maspupah, A; Umbara, FR";E-Supply Chain Management Model for Garment & Textile Industry with Limitation of Technological Capabilities;10.1088/1757-899X/662/7/072003
"Majumdar, A; Sinha, SK; Govindan, K";Prioritising risk mitigation strategies for environmentally sustainable clothing supply chains: Insights from selected organisational theories;10.1016/j.spc.2021.06.021
"Chowdhury, NA; Ali, SM; Mahtab, Z; Rahman, T; Kabir, G; Paul, SK";A structural model for investigating the driving and dependence power of supply chain risks in the readymade garment industry;10.1016/j.jretconser.2019.05.024
Staicu, D;Characteristics of textile and clothing sector social entrepreneurs in the transition to the circular economy;10.35530/IT.072.01.202031
"Kazancoglu, I; Kazancoglu, Y; Yarimoglu, E; Kahraman, A";A conceptual framework for barriers of circular supply chains for sustainability in the textile industry;10.1002/sd.2100
"Suganya, G; Joshua, S";Determinants of supply chain effectiveness during economic slowdown - an exploratory study of the Indian Textiles Cluster;10.35530/IT.071.06.1748
"Michel, GM; Lee, YA";Cloth(ing) for the dead: case study of three designers' green burial practices;10.1186/s40691-017-0088-y
"Johnson, E; Plepys, A";Product-Service Systems and Sustainability: Analysing the Environmental Impacts of Rental Clothing;10.3390/su13042118
"Adhikari, A; Bisi, A; Avittathur, B";Coordination mechanism, risk sharing, and risk aversion in a five-level textile supply chain under demand and supply uncertainty;10.1016/j.ejor.2019.08.051
"Shim, S; Kim, J; Na, Y";An exploratory study on up-cycling as the sustainable clothing life at home;10.1186/s40691-018-0129-1
"Kumar, A; Moktadir, A; Liman, ZR; Gunasekaran, A; Hegemann, K; Khan, SAR";Evaluating sustainable drivers for social responsibility in the context of ready-made garments supply chain;10.1016/j.jclepro.2019.119231
"Nayak, R; Akbari, M; Far, SM";Recent sustainable trends in Vietnam's fashion supply chain;10.1016/j.jclepro.2019.03.239
"Kleinhuckelkotten, S; Neitzke, HP";Increasing sustainability in clothing production and consumption - opportunities and constraints;10.14512/gaia.28.S1.11
Lee, JK;Design: Lady Harberton: An Interactive Cycling Outfit Incorporating Solar Powered LED Sensor Lights;10.1145/3267242.3267299
"Shen, B; Ding, XM; Chen, LZ; Chan, HL";Low carbon supply chain with energy consumption constraints: case studies from China's textile industry and simple analytical model;10.1108/SCM-05-2015-0197
"Guo, S; Choi, TM; Zhang, JZ";Second-Hand-Clothing Imports in Least-Developed-Countries: The Collapse of Local Clothing Manufacturing and Remedial Measures;10.1109/TEM.2021.3061528
"Uddin, MJ; Azmat, F; Fujimoto, Y; Hossain, F";Exploitation in Bangladeshi ready-made garments supply chain: a case of irresponsible capitalism?;10.1108/IJLM-12-2021-0565
"Karami, S; Yaghin, RG; Mousazadegan, F";Supplier selection and evaluation in the garment supply chain: an integrated DEA-PCA-VIKOR approach;10.1080/00405000.2020.1768771
"Habib, MA; Bao, YK; Nabi, N; Dulal, M; Asha, AA; Islam, M";Impact of Strategic Orientations on the Implementation of Green Supply Chain Management Practices and Sustainable Firm Performance;10.3390/su13010340
"Karell, E; Niinimaki, K";A Mixed-Method Study of Design Practices and Designers' Roles in Sustainable-Minded Clothing Companies;10.3390/su12114680
